x,y
1791,182880
1792,182944
1793,182944
1794,183008
1795,183168
1796,183168
1797,183392
1798,183456
1799,183520
1800,183584
1801,183680
1802,183712
1803,183840
1804,183872
1805,183936
1806,184032
1807,184192
1808,184256
1809,184288
1810,184384
1811,184448
1812,184480
1813,184992
1814,185152
1815,185216
1816,185536
1817,185760
1818,185792
1819,185856
1820,185920
1821,185920
1822,185984
1823,186240
1824,186624
1825,186752
1826,187136
1827,187200
1828,187232
1829,187232
1830,187328
1831,187456
1832,187584
1833,187680
1834,187712
1835,187808
1836,187872
1837,187872
1838,187904
1839,187936
1840,188160
1841,188160
1842,188160
1843,188288
1844,188448
1845,188512
1846,188640
1847,188896
1848,188896
1849,188960
1850,189024
1851,189088
1852,189248
1853,189344
1854,189344
1855,189760
1856,189920
1857,189952
1858,190400
1859,190560
1860,190688
1861,190720
1862,190720
1863,190752
1864,190880
1865,190880
1866,190944
1867,191008
1868,191040
1869,191104
1870,191136
1871,191232
1872,191264
1873,191296
1874,191776
1875,191936
1876,191936
1877,192032
1878,192160
1879,192256
1880,192288
1881,192288
1882,192288
1883,192352
1884,192608
1885,192832
1886,192960
1887,193024
1888,193056
1889,193120
1890,193184
1891,193312
1892,193312
1893,193408
1894,193408
1895,193472
1896,193504
1897,193568
1898,193728
1899,193824
1900,193952
1901,194080
1902,194176
1903,194272
1904,194304
1905,194368
1906,194432
1907,194624
1908,194624
1909,194720
1910,194752
1911,195072
1912,195072
1913,195168
1914,195520
1915,195584
1916,195680
1917,195776
1918,195872
1919,196000
1920,196128
1921,196160
1922,196288
1923,196384
1924,196832
1925,196960
1926,197024
1927,197152
1928,197344
1929,197472
1930,197536
1931,197792
1932,197888
1933,197888
1934,198176
1935,198208
1936,198240
1937,198240
1938,198432
1939,198496
1940,198688
1941,198720
1942,199104
1943,199200
1944,199360
1945,199520
1946,199648
1947,199648
1948,199648
1949,199776
1950,199808
1951,200064
1952,200096
1953,200192
1954,200256
1955,200352
1956,200448
1957,200928
1958,200960
1959,201024
1960,201088
1961,201152
1962,201152
1963,201344
1964,201376
1965,201408
1966,201440
1967,201504
1968,201568
1969,202112
1970,202112
1971,202176
1972,202240
1973,202336
1974,202464
1975,202464
1976,203104
1977,203264
1978,203392
1979,203456
1980,203552
1981,203648
1982,203744
1983,203808
1984,203904
1985,203968
1986,204064
1987,204192
1988,204288
1989,204448
1990,204480
1991,204512
1992,204576
1993,204608
1994,204864
1995,205056
1996,205216
1997,205312
1998,205376
1999,205376
2000,205504
2001,205504
2002,205504
2003,205600
2004,205632
2005,205632
2006,205632
2007,205728
2008,206016
2009,206048
2010,206176
2011,206176
2012,206176
2013,206208
2014,206432
2015,206560
2016,206624
2017,206656
2018,206656
2019,206848
2020,207008
2021,207072
2022,207072
2023,207200
2024,207328
2025,207648
2026,207712
2027,207744
2028,207936
2029,207968
2030,208000
2031,208000
2032,208096
2033,208128
2034,208224
2035,208256
2036,208480
2037,208576
2038,208800
2039,208800
2040,208864
2041,209024
2042,209088
2043,209152
2044,209152
2045,209184
2046,209184
2047,209312
2048,209376
2049,209440
2050,209472
2051,209536
2052,209632
2053,209952
2054,209984
2055,210016
2056,210176
2057,210368
2058,210368
2059,210432
2060,210528
2061,210688
2062,210816
2063,211232
2064,211264
2065,211264
2066,211264
2067,211488
2068,211680
2069,211776
2070,211904
2071,212000
2072,212032
2073,212096
2074,212128
2075,212128
2076,212352
2077,212480
2078,212544
2079,212704
2080,212768
2081,212832
2082,212832
2083,212896
2084,212928
2085,213344
2086,213408
2087,213408
2088,213440
2089,213504
2090,213632
2091,213760
2092,213824
2093,213952
2094,214048
2095,214112
2096,214176
2097,214272
2098,214368
2099,214400
2100,214464
2101,214560
2102,214592
2103,214688
2104,214720
2105,214784
2106,214976
2107,215168
2108,215328
2109,215360
2110,215424
2111,215424
2112,215424
2113,215456
2114,215616
2115,215712
2116,216032
2117,216064
2118,216128
2119,216160
2120,216256
2121,216256
2122,216416
2123,216480
2124,216480
2125,216576
2126,216576
2127,216640
2128,216672
2129,216800
2130,216832
2131,216928
2132,217056
2133,217216
2134,217504
2135,217504
2136,217600
2137,217984
2138,217984
2139,218112
2140,218112
2141,218208
2142,218272
2143,218304
2144,218336
2145,218816
2146,218944
2147,218976
2148,219104
2149,219232
2150,219264
2151,219264
2152,219296
2153,219360
2154,219424
2155,219488
2156,219520
2157,219552
2158,219552
2159,219712
2160,219872
2161,219904
2162,219936
2163,220160
2164,220160
2165,220256
2166,220352
2167,220480
2168,220480
2169,220512
2170,220672
2171,220704
2172,220704
2173,220736
2174,221024
2175,221088
2176,221152
2177,221344
2178,221408
2179,221504
2180,221568
2181,221632
2182,221984
2183,222240
2184,222560
2185,222560
2186,222592
2187,222688
2188,222784
2189,222976
2190,223168
2191,223328
2192,223424
2193,223520
2194,223680
2195,223680
2196,223712
2197,223712
2198,223936
2199,223936
2200,224064
2201,224128
2202,224256
2203,224352
2204,224448
2205,224512
2206,224544
2207,224576
2208,224576
2209,224640
2210,224704
2211,225024
2212,225056
2213,225088
2214,225184
2215,225248
2216,225344
2217,225440
2218,225472
2219,225504
2220,225504
2221,225664
2222,225728
2223,226048
2224,226304
2225,226336
2226,226464
2227,226464
2228,226496
2229,226496
2230,226528
2231,226720
2232,226880
2233,226912
2234,226944
2235,227072
2236,227200
2237,227360
2238,227360
2239,227488
2240,227552
2241,227584
2242,227680
2243,227680
2244,227712
2245,227872
2246,228000
2247,228128
2248,228192
2249,228224
2250,228320
2251,228352
2252,228544
2253,228576
2254,228864
2255,229088
2256,229088
2257,229440
2258,229472
2259,229536
2260,229568
2261,229632
2262,229760
2263,229792
2264,229856
2265,229952
2266,229984
2267,230304
2268,230624
2269,230656
2270,230976
2271,231008
2272,231040
2273,231136
2274,231424
2275,231488
2276,231520
2277,231648
2278,231744
2279,231808
2280,231872
2281,231968
2282,232160
2283,232480
2284,232608
2285,232960
2286,233184
2287,233216
2288,233504
2289,233568
2290,233856
2291,233984
2292,234016
2293,234048
2294,234272
2295,234496
2296,234624
2297,234720
2298,235008
2299,235072
2300,235072
2301,235104
2302,235328
2303,235392
2304,235424
2305,235680
2306,235936
2307,236000
2308,236032
2309,236192
2310,236448
2311,236576
2312,236608
2313,236832
2314,236960
2315,236960
2316,237056
2317,237088
2318,237216
2319,237248
2320,237280
2321,237376
2322,237568
2323,237600
2324,237856
2325,237952
2326,238080
2327,238240
2328,238336
2329,238592
2330,238624
2331,238688
2332,238752
2333,238816
2334,238816
2335,238848
2336,238848
2337,238912
2338,239040
2339,239200
2340,239232
2341,239264
2342,239584
2343,239776
2344,239872
2345,240192
2346,240288
2347,240672
2348,240704
2349,240768
2350,240832
2351,240896
2352,241056
2353,241088
2354,241120
2355,241120
2356,241248
2357,241408
2358,241440
2359,241472
2360,241600
2361,241632
2362,241824
2363,242048
2364,242144
2365,242240
2366,242240
2367,242592
2368,242624
2369,242688
2370,242720
2371,242784
2372,243232
2373,243264
2374,243392
2375,243552
2376,243648
2377,243776
2378,243872
2379,244032
2380,244256
2381,244256
2382,244288
2383,244512
2384,244544
2385,244704
2386,244832
2387,244928
2388,245024
2389,245056
2390,245088
2391,245312
2392,245408
2393,245440
2394,245696
2395,245792
2396,245984
2397,246016
2398,246080
2399,246112
2400,246336
2401,246464
2402,246496
2403,246688
2404,246752
2405,246976
2406,247104
2407,247200
2408,247264
2409,247296
2410,247360
2411,247392
2412,247424
2413,247616
2414,247712
2415,247744
2416,247840
2417,248096
2418,248288
2419,248288
2420,248352
2421,248544
2422,248704
2423,248736
2424,248736
2425,248864
2426,248928
2427,249024
2428,249024
2429,249120
2430,249312
2431,249696
2432,249792
2433,249856
2434,249952
2435,249952
2436,249952
2437,250048
2438,250144
2439,250208
2440,250496
2441,250528
2442,250528
2443,250528
2444,250656
2445,250720
2446,250720
2447,250784
2448,250912
2449,251008
2450,251040
2451,251104
2452,251104
2453,251136
2454,251168
2455,251392
2456,251456
2457,251456
2458,251520
2459,251744
2460,252224
2461,252320
2462,252608
2463,252704
2464,253408
2465,253440
2466,253440
2467,253440
2468,253632
2469,253632
2470,253632
2471,253664
2472,253664
2473,253728
2474,253824
2475,253856
2476,253856
2477,253984
2478,254016
2479,254112
2480,254368
2481,254496
2482,254528
2483,254560
2484,254656
2485,254752
2486,254880
2487,254976
2488,255008
2489,255136
2490,255328
2491,255328
2492,255392
2493,255392
2494,255456
2495,255488
2496,255488
2497,255712
2498,255744
2499,255808
